code,country,location,source
204,CAN,Manitoba,https://www.allareacodes.com/canadian_area_codes.htm
226,CAN,"London, ON",
236,CAN,"Vancouver, BC",
249,CAN,"Sudbury, ON",
250,CAN,"Kelowna, BC",
263,CAN,"Montreal, QC",
289,CAN,"Hamilton, ON",
306,CAN,Saskatchewan,
343,CAN,"Ottawa, ON",
354,CAN,"Granby, QC",
365,CAN,"Hamilton, ON",
367,CAN,"Quebec, QC",
368,CAN,"Calgary, AB",
382,CAN,"London, ON",
403,CAN,"Calgary, AB",
416,CAN,"Toronto, ON",
418,CAN,"Quebec, QC",
428,CAN,New Brunswick,
431,CAN,Manitoba,
437,CAN,"Toronto, ON",
438,CAN,"Montreal, QC",
450,CAN,"Granby, QC",
468,CAN,"Sherbrooke, QC",
474,CAN,Saskatchewan,
506,CAN,New Brunswick,
514,CAN,"Montreal, QC",
519,CAN,"London, ON",
548,CAN,"London, ON",
579,CAN,"Granby, QC",
581,CAN,"Quebec, QC",
584,CAN,Manitoba,
587,CAN,"Calgary, AB",
604,CAN,"Vancouver, BC",
613,CAN,"Ottawa, ON",
639,CAN,Saskatchewan,
647,CAN,"Toronto, ON",
672,CAN,"Vancouver, BC",
683,CAN,"Sudbury, ON",
705,CAN,"Sudbury, ON",
709,CAN,Newfoundland/Labrador,
742,CAN,"Hamilton, ON",
753,CAN,"Ottawa, ON",
778,CAN,"Vancouver, BC",
780,CAN,"Edmonton, AB",
782,CAN,Nova Scotia/PE Island,
807,CAN,"Kenora, ON",
819,CAN,"Sherbrooke, QC",
825,CAN,"Calgary, AB",
867,CAN,Northern Canada,
873,CAN,"Sherbrooke, QC",
879,CAN,Newfoundland/Labrador,
902,CAN,Nova Scotia/PE Island,
905,CAN,"Hamilton, ON",
205,USA,Alabama,
251,USA,Alabama,
256,USA,Alabama,
334,USA,Alabama,
659,USA,Alabama,
938,USA,Alabama,
907,USA,Alaska,
480,USA,Arizona,
520,USA,Arizona,
602,USA,Arizona,
623,USA,Arizona,
928,USA,Arizona,
327,USA,Arkansas,
479,USA,Arkansas,
501,USA,Arkansas,
870,USA,Arkansas,
209,USA,California,
213,USA,California,
279,USA,California,
310,USA,California,
323,USA,California,
341,USA,California,
350,USA,California,
369,USA,California,
408,USA,California,
415,USA,California,
424,USA,California,
442,USA,California,
510,USA,California,
530,USA,California,
559,USA,California,
562,USA,California,
619,USA,California,
626,USA,California,
628,USA,California,
650,USA,California,
657,USA,California,
661,USA,California,
669,USA,California,
707,USA,California,
714,USA,California,
747,USA,California,
760,USA,California,
805,USA,California,
818,USA,California,
820,USA,California,
831,USA,California,
840,USA,California,
858,USA,California,
909,USA,California,
916,USA,California,
925,USA,California,
949,USA,California,
951,USA,California,
303,USA,Colorado,
719,USA,Colorado,
720,USA,Colorado,
970,USA,Colorado,
983,USA,Colorado,
203,USA,Connecticut,
